"Terms","Rank","ASIN/ISBN","Rank Type","Date/time Collected","tracking"
"virtual office space","2","0804137501","search","2015-07-10 15:19:24.490292","yes"
"professional writing","237","B00GL3PZ0K","search","2015-07-10 15:19:24.490292","yes"
"collaborative management","113","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"your brand","16","0385346948","search","2015-07-10 15:19:24.490292","no"
"your brand","224","B0036S4EWI","search","2015-07-10 15:19:24.490292","no"
"work from home moms","95","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"work from home moms","120","0767930533","search","2015-07-10 15:19:24.490292","no"
"time management","305","038534645X","search","2015-07-10 15:19:24.490292","no"
"career success","163","0553446967","search","2015-07-10 15:19:24.490292","no"
"career success","197","0767927419","search","2015-07-10 15:19:24.490292","no"
"achieving happiness","1","0770436730","search","2015-07-10 15:19:24.490292","yes"
"achieving happiness","70","0385516665","search","2015-07-10 15:19:24.490292","no"
"achieving happiness","100","B001VT3L5A","search","2015-07-10 15:19:24.490292","no"
"achieving happiness","210","0804141231","search","2015-07-10 15:19:24.490292","no"
"navigating the workplace","6","B00GL3PZ0K","search","2015-07-10 15:19:24.490292","yes"
"creative value","76","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"business psychology","25","0307591549","search","2015-07-10 15:19:24.490292","no"
"business psychology","100","0385531737","search","2015-07-10 15:19:24.490292","no"
"business psychology","123","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"business psychology","127","0804136726","search","2015-07-10 15:19:24.490292","yes"
"business psychology","216","B0030DHPGQ","search","2015-07-10 15:19:24.490292","no"
"work remotely","12","0804137501","search","2015-07-10 15:19:24.490292","yes"
"work remotely","86","0553446967","search","2015-07-10 15:19:24.490292","no"
"adding value","192","B0050DIWHU","search","2015-07-10 15:19:24.490292","yes"
"personal data collection","31","B00M60PIXQ","search","2015-07-10 15:19:24.490292","yes"
"health and human potential","204","0804136726","search","2015-07-10 15:19:24.490292","yes"
"remote work","2","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"remote work","61","0307951529","search","2015-07-10 15:19:24.490292","no"
"pressure traps","5","0804136726","search","2015-07-10 15:19:24.490292","yes"
"positive change","22","0770436730","search","2015-07-10 15:19:24.490292","yes"
"breakthrough creativity","58","0770434002","search","2015-07-10 15:19:24.490292","yes"
"privacy settings","50","B00M60PIXQ","search","2015-07-10 15:19:24.490292","yes"
"telecommuting jobs","14","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"telecommuting jobs","198","0307588777","search","2015-07-10 15:19:24.490292","no"
"buggy romance","32","1400073960","search","2015-07-10 15:19:24.490292","yes"
"buggy romance","37","0307446557","search","2015-07-10 15:19:24.490292","yes"
"buggy romance","38","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"buggy romance","47","0307446530","search","2015-07-10 15:19:24.490292","yes"
"buggy romance","49","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"buggy romance","58","B00G1IV9T6","search","2015-07-10 15:19:24.490292","yes"
"buggy romance","66","B007REKL1A","search","2015-07-10 15:19:24.490292","yes"
"buggy romance","71","B0019O6J2E","search","2015-07-10 15:19:24.490292","yes"
"graduation books","276","0804141444","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","27","1601426992","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","28","0307731332","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","31","0307729982","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","46","0307730026","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","47","1400073960","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","55","0307446530","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","56","1400072921","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","59","0307446557","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","121","0307729958","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","131","0307731316","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","154","1400073987","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","173","1400073979","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","175","1601427670","search","2015-07-10 15:19:24.490292","yes"
"Old Order Mennonite","216","1400072948","search","2015-07-10 15:19:24.490292","yes"
"Englischer","35","B00RKO6OXG","search","2015-07-10 15:19:24.490292","yes"
"Englischer","51","B00N6PBH6C","search","2015-07-10 15:19:24.490292","yes"
"Englischer","83","B00G1IV9T6","search","2015-07-10 15:19:24.490292","yes"
